Moisture,Rainfall,Average Humidity,Mean Temp,millet yield
-1.112858551,2.469681319,-0.361273456,-0.384615385,1.395731707
-0.716753219,1.523218791,-0.251817381,-0.555555556,-0.433536585
0.288346177,1.492978571,0.459647103,-0.726495726,-1.043292683
1.441602113,1.099511319,-1.236922051,-1.068376068,-1.043292683
0.925517203,0.737897692,-0.799097754,-0.726495726,0.176219512
0.724230885,1.060154176,-0.908553828,-1.324786325,0.176219512
0.612532294,2.15319,-1.401106163,-1.666666667,0.176219512
0.630979276,3.10066,-0.853825791,-1.752136752,0.176219512
-0.10519829,2.7119,-0.744369716,-1.581196581,-1.043292683
0.167432797,2.004815055,-0.142361307,-1.923076923,-1.043292683
0.533197686,1.592253077,-0.634913642,-1.581196581,-1.043292683
1.016187223,1.258767912,-0.416001493,-1.153846154,0.176219512
0.421615191,1.105065385,-0.744369716,-0.982905983,0.176219512
-0.384400302,1.529008791,-0.251817381,-0.726495726,-0.433536585
-0.350057143,1.390320659,-0.306545419,-0.555555556,0.176219512
0.462924547,2.464661429,-0.251817381,-0.128205128,-0.433536585
1.426766298,2.683849011,0.021822805,-0.042735043,-1.043292683
-1.124245171,2.055630769,-0.142361307,-0.042735043,1.395731707
-0.593860463,2.435090659,-0.08763327,0.128205128,-1.043292683
-0.276467606,2.323035275,0.51437514,0.042735043,0.176219512
-0.240956137,1.849200549,0.623831214,-0.384615385,-0.433536585
-1.524982193,2.125091429,0.51437514,-0.042735043,1.395731707
0.887922736,1.886951209,0.623831214,-0.213675214,-1.043292683
-0.91725171,1.936904835,0.131278879,-0.128205128,-0.433536585
-0.352053823,1.619862967,1.006927475,-0.384615385,-0.433536585
-0.754426559,1.71625,0.678559252,-0.726495726,-1.043292683
0.79874004,1.737457253,0.788015326,-0.897435897,-0.433536585
-2.093177364,1.562344396,0.459647103,-0.726495726,1.395731707
0.313621429,1.688512527,-0.08763327,-0.299145299,-0.433536585
1.807832696,1.922856923,-0.744369716,0.128205128,-1.043292683
-0.531006237,2.407753516,-0.525457567,0.299145299,0.176219512
1.21872505,2.578230769,-0.908553828,0.47008547,0.176219512
-0.074454728,2.083035714,-0.908553828,0.47008547,0.176219512
-0.121589537,1.90868956,-0.908553828,0.299145299,0.176219512
0.007398692,1.969515165,-0.799097754,0.299145299,0.176219512
0.528482394,2.278726154,-0.361273456,0.213675214,-0.433536585
0.291287425,1.817541099,-0.744369716,0.384615385,0.176219512
-0.227790241,2.252171758,-0.361273456,-0.042735043,-1.043292683
1.50742334,0.955237143,-0.963281865,-0.042735043,-1.043292683
-1.856462475,0.850516593,-0.689641679,-0.213675214,1.395731707
1.749669115,0.255237582,-0.853825791,-0.128205128,-1.043292683
0.72818672,0.271485275,-1.236922051,0.299145299,0.176219512
0.096452817,0.777778022,-1.182194014,0.641025641,-1.043292683
-0.481533602,0.45262011,-1.182194014,0.641025641,0.176219512
-0.847867404,0.114896593,-1.510562238,0.128205128,-1.043292683
-0.290905131,0.467756374,-1.565290275,0.47008547,0.176219512
-0.99716338,0.691318681,-1.4558342,-0.042735043,0.176219512
-0.448931388,0.258243407,-1.565290275,-0.128205128,-1.043292683
0.322276861,0.31964989,-1.4558342,0.042735043,-1.043292683
-2.033949598,0.25702956,-1.565290275,0.213675214,1.395731707
0.288485513,0.614382308,-1.510562238,0.299145299,0.176219512
-0.005059457,0.193674176,-1.510562238,0.641025641,0.176219512
-1.048616801,-0.232005604,-1.729474386,0.726495726,1.395731707
-0.688585412,0.118787692,-1.893658498,0.982905983,0.176219512
-1.561240141,0.046036923,-2.003114573,0.384615385,1.395731707
-0.204412374,-0.56453956,-2.112570647,-0.042735043,0.176219512
-0.390311569,-0.578250769,-1.948386535,-0.384615385,0.176219512
1.045620523,0.181104176,-1.674746349,-0.726495726,-1.043292683
0.277361066,-0.131737363,-1.784202424,0.042735043,0.176219512
0.517917706,-0.061167253,-1.510562238,0.299145299,0.176219512
0.214573139,-0.730769231,-1.510562238,0.641025641,1.395731707
-1.057940141,-0.50615978,-1.838930461,0.641025641,1.395731707
-0.118695171,-0.660214505,-1.893658498,1.153846154,-1.043292683
0.282794668,-0.33694,-1.784202424,0.641025641,0.176219512
-0.378964588,0.014064286,-1.620018312,0.726495726,-1.043292683
0.911210463,-0.223014835,-1.510562238,0.811965812,0.176219512
-0.851838934,-0.531540549,-1.729474386,1.153846154,0.176219512
0.742512575,-0.186282857,-1.565290275,1.153846154,0.176219512
-0.59544004,-0.086483626,-1.674746349,1.153846154,-1.043292683
-0.255709054,0.662177582,-1.018009902,0.982905983,-1.043292683
2.660800604,0.548917253,-0.525457567,0.641025641,0.176219512
1.302871328,0.000499121,-0.853825791,0.641025641,-1.043292683
-0.476144467,0.429403846,-1.07273794,0.811965812,0.176219512
-1.060799598,1.325025495,-0.634913642,0.811965812,1.395731707
1.39277163,0.338883187,0.842743363,0.128205128,-1.043292683
1.641163883,-0.605516593,0.788015326,-0.213675214,-1.043292683
-0.557175755,-0.298895604,0.404919065,0.299145299,0.176219512
-1.434296378,-0.529274945,-0.361273456,0.47008547,-0.433536585
-1.273648189,-0.730769231,-0.142361307,0.641025641,1.395731707
0.824895473,-0.528355604,-0.08763327,0.213675214,-1.043292683
0.855585815,-0.730769231,-0.251817381,0.384615385,1.395731707
-0.064104125,-0.730769231,-0.525457567,0.47008547,1.395731707
1.372712978,-0.730769231,-0.47072953,0.811965812,1.395731707
1.196459859,-0.730769231,-1.127465977,1.239316239,-1.043292683
